499161.84,4655139.43,500226.37,4656203.97
505913.23,4651666.11,506977.63,4652730.52
506697.81,4648612.90,507762.17,4649677.26
506977.63,4652590.56,508042.04,4653654.97
505843.26,4650671.69,506907.66,4651736.08
496248.24,4656344.01,497312.82,4657408.59
506767.75,4649607.32,507832.12,4650671.69
505913.23,4651666.11,506977.63,4652730.52
506697.81,4648612.90,507762.17,4649677.26
507818.26,4664523.46,508882.80,4665588.00
496248.24,4656344.01,497312.82,4657408.59
499161.84,4655139.43,500226.37,4656203.97
505843.26,4650671.69,506907.66,4651736.08
505773.31,4649677.26,506837.70,4650741.64
501150.85,4654999.42,502215.36,4656063.92
496248.24,4656344.01,497312.82,4657408.59
506767.75,4649607.32,507832.12,4650671.69
506837.70,4650601.73,507902.08,4651666.11
506697.81,4648612.90,507762.17,4649677.26
505773.31,4649677.26,506837.70,4650741.64
506837.70,4650601.73,507902.08,4651666.11
506977.63,4652590.56,508042.04,4653654.97
505773.31,4649677.26,506837.70,4650741.64
507537.85,4660545.84,508602.35,4661610.34
499231.85,4656133.94,500296.39,4657198.48
