rank,patch_id,centroid_x,centroid_y,score,slope,soil,floodRisk,urbanProximity,landcoverSuitability
1,65,993280.0,4674100.0,4.320732794276188,0.9419410683221774,0.9276429809358752,0.9426472430611293,0.8813307832821462,0.6271707186748597
2,137,1004280.0,4668100.0,4.255995331790138,0.9705372335989783,0.8409445407279028,0.6086384781026837,0.8897089024970944,0.9461661768634785
3,139,1004280.0,4667100.0,4.0962420516203775,0.9999999999999999,0.8860051993067589,0.3121715020911034,0.9987866967360068,0.8992786534865083
4,134,1003280.0,4669100.0,4.014044417247117,0.9419410683221774,0.8555025996533796,0.3389461948904643,0.9234734162565968,0.954181138124499
5,19,1004280.0,4679100.0,3.970404667106359,0.9999999999999999,1.0,0.07917718412096002,0.9646979612114212,0.9265295217739778
6,65,993280.0,4674100.0,4.320732794276188,0.9419410683221774,0.9276429809358752,0.9426472430611293,0.8813307832821462,0.6271707186748597
7,7,1004280.0,4682100.0,4.129054613666488,0.9999999999999999,1.0,0.24759618764669505,0.9549289042458152,0.9265295217739778
8,135,1004280.0,4669100.0,4.119385618635043,0.9705372335989783,0.8458838821490468,0.6334216717489342,0.923349937737069,0.7461928934010151
9,129,1003280.0,4670100.0,4.097211378689705,0.9705372335989783,0.9527296360485269,0.2527125681722305,0.9578335972952973,0.9633983435746726
10,134,1003280.0,4669100.0,4.014044417247117,0.9419410683221774,0.8555025996533796,0.3389461948904643,0.9234734162565968,0.954181138124499
11,65,993280.0,4674100.0,4.320732794276188,0.9419410683221774,0.9276429809358752,0.9426472430611293,0.8813307832821462,0.6271707186748597
12,85,996280.0,4673100.0,4.2129221489097795,0.9705372335989783,0.9468804159445406,0.710894477742345,0.7958042508518077,0.788805770772108
13,7,1004280.0,4682100.0,4.129054613666488,0.9999999999999999,1.0,0.24759618764669505,0.9549289042458152,0.9265295217739778
14,135,1004280.0,4669100.0,4.119385618635043,0.9705372335989783,0.8458838821490468,0.6334216717489342,0.923349937737069,0.7461928934010151
15,129,1003280.0,4670100.0,4.097211378689705,0.9705372335989783,0.9527296360485269,0.2527125681722305,0.9578335972952973,0.9633983435746726
16,65,993280.0,4674100.0,4.320732794276188,0.9419410683221774,0.9276429809358752,0.9426472430611293,0.8813307832821462,0.6271707186748597
17,137,1004280.0,4668100.0,4.255995331790138,0.9705372335989783,0.8409445407279028,0.6086384781026837,0.8897089024970944,0.9461661768634785
18,7,1004280.0,4682100.0,4.129054613666488,0.9999999999999999,1.0,0.24759618764669505,0.9549289042458152,0.9265295217739778
19,135,1004280.0,4669100.0,4.119385618635043,0.9705372335989783,0.8458838821490468,0.6334216717489342,0.923349937737069,0.7461928934010151
20,139,1004280.0,4667100.0,4.0962420516203775,0.9999999999999999,0.8860051993067589,0.3121715020911034,0.9987866967360068,0.8992786534865083
21,65,993280.0,4674100.0,4.320732794276188,0.9419410683221774,0.9276429809358752,0.9426472430611293,0.8813307832821462,0.6271707186748597
22,7,1004280.0,4682100.0,4.129054613666488,0.9999999999999999,1.0,0.24759618764669505,0.9549289042458152,0.9265295217739778
23,129,1003280.0,4670100.0,4.097211378689705,0.9705372335989783,0.9527296360485269,0.2527125681722305,0.9578335972952973,0.9633983435746726
24,139,1004280.0,4667100.0,4.0962420516203775,0.9999999999999999,0.8860051993067589,0.3121715020911034,0.9987866967360068,0.8992786534865083
25,3,1004280.0,4683100.0,4.083415689267733,0.9532062261496428,0.9376083188908146,0.36312555891286763,0.9462268543499407,0.883248730964467
